"id","X","tag_plate","location","value","PID","timepoint","PID_timepoint","empty_well"
"Plate_1_D10",75,"Plate_1","D10","61217_001_C12_D29_D10","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D11",83,"Plate_1","D11","61217_001_C12_D29_D11","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D12",91,"Plate_1","D12","61217_001_C12_D29_D12","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D1",3,"Plate_1","D1","61217_001_C12_D29_D1","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D2",11,"Plate_1","D2","61217_001_C12_D29_D2","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D3",19,"Plate_1","D3","61217_001_C12_D29_D3","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D4",27,"Plate_1","D4","61217_001_C12_D29_D4","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D5",35,"Plate_1","D5","61217_001_C12_D29_D5","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D6",43,"Plate_1","D6","61217_001_C12_D29_D6","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D7",51,"Plate_1","D7","61217_001_C12_D29_D7","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D8",59,"Plate_1","D8","61217_001_C12_D29_D8","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_D9",67,"Plate_1","D9","61217_001_C12_D29_D9","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E10",76,"Plate_1","E10","61217_001_C12_D29_E10","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E11",84,"Plate_1","E11","61217_001_C12_D29_E11","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E12",92,"Plate_1","E12","61217_001_C12_D29_E12","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E1",4,"Plate_1","E1","61217_001_C12_D29_E1","61217_001","C12_D29","61217_001_C12_D29",TRUE
"Plate_1_E2",12,"Plate_1","E2","61217_001_C12_D29_E2","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E3",20,"Plate_1","E3","61217_001_C12_D29_E3","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E4",28,"Plate_1","E4","61217_001_C12_D29_E4","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E5",36,"Plate_1","E5","61217_001_C12_D29_E5","61217_001","C12_D29","61217_001_C12_D29",TRUE
"Plate_1_E6",44,"Plate_1","E6","61217_001_C12_D29_E6","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E7",52,"Plate_1","E7","61217_001_C12_D29_E7","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E8",60,"Plate_1","E8","61217_001_C12_D29_E8","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_E9",68,"Plate_1","E9","61217_001_C12_D29_E9","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F10",77,"Plate_1","F10","61217_001_C12_D29_F10","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F11",85,"Plate_1","F11","61217_001_C12_D29_F11","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F12",93,"Plate_1","F12","61217_001_C12_D29_F12","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F1",5,"Plate_1","F1","61217_001_C12_D29_F1","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F2",13,"Plate_1","F2","61217_001_C12_D29_F2","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F3",21,"Plate_1","F3","61217_001_C12_D29_F3","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F4",29,"Plate_1","F4","61217_001_C12_D29_F4","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F5",37,"Plate_1","F5","61217_001_C12_D29_F5","61217_001","C12_D29","61217_001_C12_D29",FALSE
