Sample	Unique Reads	Duplicate Reads
qc | fastqc-novaseq | Plate_2_A1_22NG7YLT3_S9_L008_R2_001	72352.0	166647.0
qc | fastqc-novaseq | Plate_2_A2_22NG7YLT3_S81_L008_R1_001	54031.0	145742.0
qc | fastqc-novaseq | Plate_2_A2_22NG7YLT3_S81_L008_R2_001	65201.0	134572.0
qc | fastqc-novaseq | Plate_2_A3_22NG7YLT3_S153_L008_R1_001	61957.0	185791.0
qc | fastqc-novaseq | Plate_2_A3_22NG7YLT3_S153_L008_R2_001	76275.0	171473.0
qc | fastqc-novaseq | Plate_2_A4_22NG7YLT3_S225_L008_R1_001	71298.0	276261.0
qc | fastqc-novaseq | Plate_2_A4_22NG7YLT3_S225_L008_R2_001	80663.0	266896.0
qc | fastqc-novaseq | Plate_2_A5_22NG7YLT3_S297_L008_R1_001	46235.0	135366.0
qc | fastqc-novaseq | Plate_2_A5_22NG7YLT3_S297_L008_R2_001	60285.0	121316.0
qc | fastqc-novaseq | Plate_2_A6_22NG7YLT3_S369_L008_R1_001	74109.0	253478.0
qc | fastqc-novaseq | Plate_2_A6_22NG7YLT3_S369_L008_R2_001	78337.0	249250.0
qc | fastqc-novaseq | Plate_2_A7_22NG7YLT3_S441_L008_R1_001	39537.0	87884.0
qc | fastqc-novaseq | Plate_2_A7_22NG7YLT3_S441_L008_R2_001	46686.0	80735.0
qc | fastqc-novaseq | Plate_2_A8_22NG7YLT3_S508_L008_R1_001	32792.0	66651.0
qc | fastqc-novaseq | Plate_2_A8_22NG7YLT3_S508_L008_R2_001	41095.0	58348.0
qc | fastqc-novaseq | Plate_2_A9_22NG7YLT3_S572_L008_R1_001	54404.0	168112.0
qc | fastqc-novaseq | Plate_2_A9_22NG7YLT3_S572_L008_R2_001	86387.0	136129.0
qc | fastqc-novaseq | Plate_2_B10_22NG7YLT3_S637_L008_R1_001	54924.0	140054.0
qc | fastqc-novaseq | Plate_2_B10_22NG7YLT3_S637_L008_R2_001	64684.0	130294.0
qc | fastqc-novaseq | Plate_2_B11_22NG7YLT3_S701_L008_R1_001	63835.0	223103.0
qc | fastqc-novaseq | Plate_2_B11_22NG7YLT3_S701_L008_R2_001	76774.0	210164.0
qc | fastqc-novaseq | Plate_2_B12_22NG7YLT3_S765_L008_R1_001	71599.0	273101.0
qc | fastqc-novaseq | Plate_2_B12_22NG7YLT3_S765_L008_R2_001	77819.0	266881.0
qc | fastqc-novaseq | Plate_2_B1_22NG7YLT3_S10_L008_R1_001	68381.0	212725.0
qc | fastqc-novaseq | Plate_2_B1_22NG7YLT3_S10_L008_R2_001	80516.0	200590.0
qc | fastqc-novaseq | Plate_2_B2_22NG7YLT3_S82_L008_R1_001	58451.0	189716.0
qc | fastqc-novaseq | Plate_2_B2_22NG7YLT3_S82_L008_R2_001	63989.0	184178.0
qc | fastqc-novaseq | Plate_2_B3_22NG7YLT3_S154_L008_R1_001	71769.0	223666.0
qc | fastqc-novaseq | Plate_2_B3_22NG7YLT3_S154_L008_R2_001	87013.0	208422.0
qc | fastqc-novaseq | Plate_2_B4_22NG7YLT3_S226_L008_R1_001	75116.0	252323.0
qc | fastqc-novaseq | Plate_2_B4_22NG7YLT3_S226_L008_R2_001	83042.0	244397.0
qc | fastqc-novaseq | Plate_2_B5_22NG7YLT3_S298_L008_R1_001	54667.0	165916.0
qc | fastqc-novaseq | Plate_2_B5_22NG7YLT3_S298_L008_R2_001	70316.0	150267.0
qc | fastqc-novaseq | Plate_2_B6_22NG7YLT3_S370_L008_R1_001	65791.0	216607.0
qc | fastqc-novaseq | Plate_2_B6_22NG7YLT3_S370_L008_R2_001	77514.0	204884.0
qc | fastqc-novaseq | Plate_2_B7_22NG7YLT3_S442_L008_R1_001	39168.0	86774.0
qc | fastqc-novaseq | Plate_2_B7_22NG7YLT3_S442_L008_R2_001	50327.0	75615.0
qc | fastqc-novaseq | Plate_2_B8_22NG7YLT3_S509_L008_R1_001	44388.0	104776.0
qc | fastqc-novaseq | Plate_2_B8_22NG7YLT3_S509_L008_R2_001	51782.0	97382.0
qc | fastqc-novaseq | Plate_2_B9_22NG7YLT3_S573_L008_R1_001	61233.0	188858.0
qc | fastqc-novaseq | Plate_2_B9_22NG7YLT3_S573_L008_R2_001	73078.0	177013.0
qc | fastqc-novaseq | Plate_2_C10_22NG7YLT3_S638_L008_R1_001	47341.0	131654.0
qc | fastqc-novaseq | Plate_2_C10_22NG7YLT3_S638_L008_R2_001	54938.0	124057.0
qc | fastqc-novaseq | Plate_2_C11_22NG7YLT3_S702_L008_R1_001	86753.0	359948.0
qc | fastqc-novaseq | Plate_2_C11_22NG7YLT3_S702_L008_R2_001	98151.0	348550.0
qc | fastqc-novaseq | Plate_2_C12_22NG7YLT3_S766_L008_R1_001	142219.0	398247.0
qc | fastqc-novaseq | Plate_2_C12_22NG7YLT3_S766_L008_R2_001	168180.0	372286.0
qc | fastqc-novaseq | Plate_2_C1_22NG7YLT3_S11_L008_R1_001	74676.0	295964.0
qc | fastqc-novaseq | Plate_2_C1_22NG7YLT3_S11_L008_R2_001	84711.0	285929.0
qc | fastqc-novaseq | Plate_2_C2_22NG7YLT3_S83_L008_R1_001	40645.0	89431.0
qc | fastqc-novaseq | Plate_2_C2_22NG7YLT3_S83_L008_R2_001	50022.0	80054.0
qc | fastqc-novaseq | Plate_2_C3_22NG7YLT3_S155_L008_R1_001	51413.0	189177.0
qc | fastqc-novaseq | Plate_2_C3_22NG7YLT3_S155_L008_R2_001	62802.0	177788.0
qc | fastqc-novaseq | Plate_2_C4_22NG7YLT3_S227_L008_R1_001	70965.0	233239.0
qc | fastqc-novaseq | Plate_2_C4_22NG7YLT3_S227_L008_R2_001	78787.0	225417.0
qc | fastqc-novaseq | Plate_2_C5_22NG7YLT3_S299_L008_R1_001	52621.0	157689.0
qc | fastqc-novaseq | Plate_2_C5_22NG7YLT3_S299_L008_R2_001	65900.0	144410.0
qc | fastqc-novaseq | Plate_2_C6_22NG7YLT3_S371_L008_R1_001	67631.0	235740.0
qc | fastqc-novaseq | Plate_2_C6_22NG7YLT3_S371_L008_R2_001	78300.0	225071.0
qc | fastqc-novaseq | Plate_2_C7_22NG7YLT3_S443_L008_R1_001	46327.0	107430.0
qc | fastqc-novaseq | Plate_2_C7_22NG7YLT3_S443_L008_R2_001	43935.0	109822.0
qc | fastqc-novaseq | Plate_2_C8_22NG7YLT3_S510_L008_R1_001	32858.0	61083.0
qc | fastqc-novaseq | Plate_2_C8_22NG7YLT3_S510_L008_R2_001	39477.0	54464.0
qc | fastqc-novaseq | Plate_2_C9_22NG7YLT3_S574_L008_R1_001	58266.0	159905.0
qc | fastqc-novaseq | Plate_2_C9_22NG7YLT3_S574_L008_R2_001	67019.0	151152.0
qc | fastqc-novaseq | Plate_2_D10_22NG7YLT3_S639_L008_R1_001	66766.0	192348.0
qc | fastqc-novaseq | Plate_2_D10_22NG7YLT3_S639_L008_R2_001	75708.0	183406.0
qc | fastqc-novaseq | Plate_2_D11_22NG7YLT3_S703_L008_R1_001	94558.0	335194.0
qc | fastqc-novaseq | Plate_2_D11_22NG7YLT3_S703_L008_R2_001	101485.0	328267.0
qc | fastqc-novaseq | Plate_2_D12_22NG7YLT3_S767_L008_R1_001	72511.0	250131.0
qc | fastqc-novaseq | Plate_2_D12_22NG7YLT3_S767_L008_R2_001	85266.0	237376.0
qc | fastqc-novaseq | Plate_2_D1_22NG7YLT3_S12_L008_R1_001	100982.0	511004.0
qc | fastqc-novaseq | Plate_2_D1_22NG7YLT3_S12_L008_R2_001	101867.0	510119.0
qc | fastqc-novaseq | Plate_2_D2_22NG7YLT3_S84_L008_R1_001	53047.0	122641.0
qc | fastqc-novaseq | Plate_2_D2_22NG7YLT3_S84_L008_R2_001	61445.0	114243.0
qc | fastqc-novaseq | Plate_2_D3_22NG7YLT3_S156_L008_R1_001	100307.0	453605.0
qc | fastqc-novaseq | Plate_2_D3_22NG7YLT3_S156_L008_R2_001	102715.0	451197.0
qc | fastqc-novaseq | Plate_2_D4_22NG7YLT3_S228_L008_R1_001	78205.0	253566.0
qc | fastqc-novaseq | Plate_2_D4_22NG7YLT3_S228_L008_R2_001	90274.0	241497.0
qc | fastqc-novaseq | Plate_2_D5_22NG7YLT3_S300_L008_R1_001	58122.0	169849.0
qc | fastqc-novaseq | Plate_2_D5_22NG7YLT3_S300_L008_R2_001	72266.0	155705.0
qc | fastqc-novaseq | Plate_2_D6_22NG7YLT3_S372_L008_R1_001	72537.0	259688.0
qc | fastqc-novaseq | Plate_2_D6_22NG7YLT3_S372_L008_R2_001	82910.0	249315.0
qc | fastqc-novaseq | Plate_2_D7_22NG7YLT3_S444_L008_R1_001	37525.0	84510.0
qc | fastqc-novaseq | Plate_2_D7_22NG7YLT3_S444_L008_R2_001	44494.0	77541.0
qc | fastqc-novaseq | Plate_2_D8_22NG7YLT3_S511_L008_R1_001	39908.0	81074.0
qc | fastqc-novaseq | Plate_2_D8_22NG7YLT3_S511_L008_R2_001	46646.0	74336.0
qc | fastqc-novaseq | Plate_2_D9_22NG7YLT3_S575_L008_R1_001	55006.0	154213.0
qc | fastqc-novaseq | Plate_2_D9_22NG7YLT3_S575_L008_R2_001	63737.0	145482.0
qc | fastqc-novaseq | Plate_2_E10_22NG7YLT3_S640_L008_R1_001	66054.0	207956.0
qc | fastqc-novaseq | Plate_2_E10_22NG7YLT3_S640_L008_R2_001	77097.0	196913.0
qc | fastqc-novaseq | Plate_2_E11_22NG7YLT3_S704_L008_R1_001	75195.0	226864.0
qc | fastqc-novaseq | Plate_2_E11_22NG7YLT3_S704_L008_R2_001	88763.0	213296.0
qc | fastqc-novaseq | Plate_2_E12_22NG7YLT3_S768_L008_R1_001	85909.0	301055.0
qc | fastqc-novaseq | Plate_2_E12_22NG7YLT3_S768_L008_R2_001	94806.0	292158.0
qc | fastqc-novaseq | Plate_2_E1_22NG7YLT3_S13_L008_R1_001	84429.0	285679.0
qc | fastqc-novaseq | Plate_2_E1_22NG7YLT3_S13_L008_R2_001	91655.0	278453.0
qc | fastqc-novaseq | Plate_2_E2_22NG7YLT3_S85_L008_R1_001	54465.0	143899.0
qc | fastqc-novaseq | Plate_2_E2_22NG7YLT3_S85_L008_R2_001	61510.0	136854.0
qc | fastqc-novaseq | Plate_2_E3_22NG7YLT3_S157_L008_R1_001	93736.0	396047.0
qc | fastqc-novaseq | Plate_2_E3_22NG7YLT3_S157_L008_R2_001	100640.0	389143.0
qc | fastqc-novaseq | Plate_2_E4_22NG7YLT3_S229_L008_R1_001	69820.0	220785.0
qc | fastqc-novaseq | Plate_2_E4_22NG7YLT3_S229_L008_R2_001	74465.0	216140.0
qc | fastqc-novaseq | Plate_2_E5_22NG7YLT3_S301_L008_R1_001	42091.0	43348.0
qc | fastqc-novaseq | Plate_2_E5_22NG7YLT3_S301_L008_R2_001	38067.0	47372.0
qc | fastqc-novaseq | Plate_2_E6_22NG7YLT3_S373_L008_R1_001	66930.0	200512.0
qc | fastqc-novaseq | Plate_2_E6_22NG7YLT3_S373_L008_R2_001	79762.0	187680.0
qc | fastqc-novaseq | Plate_2_E7_22NG7YLT3_S445_L008_R1_001	39938.0	90195.0
qc | fastqc-novaseq | Plate_2_E7_22NG7YLT3_S445_L008_R2_001	49260.0	80873.0
qc | fastqc-novaseq | Plate_2_E8_22NG7YLT3_S512_L008_R1_001	42502.0	87288.0
qc | fastqc-novaseq | Plate_2_E8_22NG7YLT3_S512_L008_R2_001	50536.0	79254.0
qc | fastqc-novaseq | Plate_2_E9_22NG7YLT3_S576_L008_R1_001	65387.0	185330.0
qc | fastqc-novaseq | Plate_2_E9_22NG7YLT3_S576_L008_R2_001	71243.0	179474.0
qc | fastqc-novaseq | Plate_2_F10_22NG7YLT3_S641_L008_R1_001	85181.0	278358.0
qc | fastqc-novaseq | Plate_2_F10_22NG7YLT3_S641_L008_R2_001	92513.0	271026.0
qc | fastqc-novaseq | Plate_2_F11_22NG7YLT3_S705_L008_R1_001	100276.0	367728.0
qc | fastqc-novaseq | Plate_2_F11_22NG7YLT3_S705_L008_R2_001	102385.0	365619.0
qc | fastqc-novaseq | Plate_2_F12_22NG7YLT3_S769_L008_R1_001	96677.0	321561.0
qc | fastqc-novaseq | Plate_2_F12_22NG7YLT3_S769_L008_R2_001	101287.0	316951.0
qc | fastqc-novaseq | Plate_2_F1_22NG7YLT3_S14_L008_R1_001	81590.0	256245.0
qc | fastqc-novaseq | Plate_2_F1_22NG7YLT3_S14_L008_R2_001	95127.0	242708.0
qc | fastqc-novaseq | Plate_2_F2_22NG7YLT3_S86_L008_R1_001	66057.0	172249.0
qc | fastqc-novaseq | Plate_2_F2_22NG7YLT3_S86_L008_R2_001	75552.0	162754.0
qc | fastqc-novaseq | Plate_2_F3_22NG7YLT3_S158_L008_R1_001	7039.0	3870.0
qc | fastqc-novaseq | Plate_2_F3_22NG7YLT3_S158_L008_R2_001	6577.0	4332.0
qc | fastqc-novaseq | Plate_2_F4_22NG7YLT3_S230_L008_R1_001	84627.0	256742.0
qc | fastqc-novaseq | Plate_2_F4_22NG7YLT3_S230_L008_R2_001	95280.0	246089.0
qc | fastqc-novaseq | Plate_2_F5_22NG7YLT3_S302_L008_R1_001	67526.0	179988.0
qc | fastqc-novaseq | Plate_2_F5_22NG7YLT3_S302_L008_R2_001	86757.0	160757.0
qc | fastqc-novaseq | Plate_2_F6_22NG7YLT3_S374_L008_R1_001	102110.0	368925.0
qc | fastqc-novaseq | Plate_2_F6_22NG7YLT3_S374_L008_R2_001	122163.0	348872.0
qc | fastqc-novaseq | Plate_2_F7_22NG7YLT3_S446_L008_R1_001	37950.0	71450.0
qc | fastqc-novaseq | Plate_2_F7_22NG7YLT3_S446_L008_R2_001	45998.0	63402.0
qc | fastqc-novaseq | Plate_2_F8_22NG7YLT3_S513_L008_R1_001	59490.0	128874.0
qc | fastqc-novaseq | Plate_2_F8_22NG7YLT3_S513_L008_R2_001	68741.0	119623.0
qc | fastqc-novaseq | Plate_2_F9_22NG7YLT3_S577_L008_R1_001	71946.0	206738.0
qc | fastqc-novaseq | Plate_2_F9_22NG7YLT3_S577_L008_R2_001	82213.0	196471.0
qc | fastqc-novaseq | Plate_2_G10_22NG7YLT3_S642_L008_R1_001	74085.0	226387.0
qc | fastqc-novaseq | Plate_2_G10_22NG7YLT3_S642_L008_R2_001	84511.0	215961.0
qc | fastqc-novaseq | Plate_2_G11_22NG7YLT3_S706_L008_R1_001	90986.0	326779.0
qc | fastqc-novaseq | Plate_2_G11_22NG7YLT3_S706_L008_R2_001	100071.0	317694.0
qc | fastqc-novaseq | Plate_2_G12_22NG7YLT3_S770_L008_R1_001	71032.0	216149.0
qc | fastqc-novaseq | Plate_2_G12_22NG7YLT3_S770_L008_R2_001	85024.0	202157.0
qc | fastqc-novaseq | Plate_2_G1_22NG7YLT3_S15_L008_R1_001	79348.0	275586.0
qc | fastqc-novaseq | Plate_2_G1_22NG7YLT3_S15_L008_R2_001	87563.0	267371.0
qc | fastqc-novaseq | Plate_2_G2_22NG7YLT3_S87_L008_R1_001	51623.0	122645.0
qc | fastqc-novaseq | Plate_2_G2_22NG7YLT3_S87_L008_R2_001	63494.0	110774.0
qc | fastqc-novaseq | Plate_2_G3_22NG7YLT3_S159_L008_R1_001	61231.0	159066.0
qc | fastqc-novaseq | Plate_2_G3_22NG7YLT3_S159_L008_R2_001	79308.0	140989.0
qc | fastqc-novaseq | Plate_2_G4_22NG7YLT3_S231_L008_R1_001	100034.0	379548.0
qc | fastqc-novaseq | Plate_2_G4_22NG7YLT3_S231_L008_R2_001	102861.0	376721.0
qc | fastqc-novaseq | Plate_2_G5_22NG7YLT3_S303_L008_R1_001	66876.0	212068.0
qc | fastqc-novaseq | Plate_2_G5_22NG7YLT3_S303_L008_R2_001	86152.0	192792.0
qc | fastqc-novaseq | Plate_2_G6_22NG7YLT3_S375_L008_R1_001	100277.0	399623.0
qc | fastqc-novaseq | Plate_2_G6_22NG7YLT3_S375_L008_R2_001	102768.0	397132.0
qc | fastqc-novaseq | Plate_2_G7_22NG7YLT3_S447_L008_R1_001	45979.0	98310.0
qc | fastqc-novaseq | Plate_2_G7_22NG7YLT3_S447_L008_R2_001	57824.0	86465.0
qc | fastqc-novaseq | Plate_2_G8_22NG7YLT3_S514_L008_R1_001	50265.0	107159.0
qc | fastqc-novaseq | Plate_2_G8_22NG7YLT3_S514_L008_R2_001	60156.0	97268.0
qc | fastqc-novaseq | Plate_2_G9_22NG7YLT3_S578_L008_R1_001	58400.0	144733.0
qc | fastqc-novaseq | Plate_2_G9_22NG7YLT3_S578_L008_R2_001	67146.0	135987.0
qc | fastqc-novaseq | Plate_2_H10_22NG7YLT3_S643_L008_R1_001	93531.0	351303.0
qc | fastqc-novaseq | Plate_2_H10_22NG7YLT3_S643_L008_R2_001	101729.0	343105.0
qc | fastqc-novaseq | Plate_2_H11_22NG7YLT3_S707_L008_R1_001	136222.0	608303.0
qc | fastqc-novaseq | Plate_2_H11_22NG7YLT3_S707_L008_R2_001	140072.0	604453.0
qc | fastqc-novaseq | Plate_2_H12_22NG7YLT3_S771_L008_R1_001	123986.0	486244.0
qc | fastqc-novaseq | Plate_2_H12_22NG7YLT3_S771_L008_R2_001	121771.0	488459.0
qc | fastqc-novaseq | Plate_2_H1_22NG7YLT3_S16_L008_R1_001	100804.0	397500.0
qc | fastqc-novaseq | Plate_2_H1_22NG7YLT3_S16_L008_R2_001	102685.0	395619.0
qc | fastqc-novaseq | Plate_2_H2_22NG7YLT3_S88_L008_R1_001	59989.0	147035.0
qc | fastqc-novaseq | Plate_2_H2_22NG7YLT3_S88_L008_R2_001	71217.0	135807.0
qc | fastqc-novaseq | Plate_2_H3_22NG7YLT3_S160_L008_R1_001	102785.0	277759.0
qc | fastqc-novaseq | Plate_2_H3_22NG7YLT3_S160_L008_R2_001	139901.0	240643.0
qc | fastqc-novaseq | Plate_2_H4_22NG7YLT3_S232_L008_R1_001	82864.0	278483.0
qc | fastqc-novaseq | Plate_2_H4_22NG7YLT3_S232_L008_R2_001	91008.0	270339.0
qc | fastqc-novaseq | Plate_2_H5_22NG7YLT3_S304_L008_R1_001	60254.0	161483.0
qc | fastqc-novaseq | Plate_2_H5_22NG7YLT3_S304_L008_R2_001	76581.0	145156.0
qc | fastqc-novaseq | Plate_2_H6_22NG7YLT3_S376_L008_R1_001	69319.0	207275.0
qc | fastqc-novaseq | Plate_2_H6_22NG7YLT3_S376_L008_R2_001	78554.0	198040.0
qc | fastqc-novaseq | Plate_2_H7_22NG7YLT3_S448_L008_R1_001	33207.0	61529.0
qc | fastqc-novaseq | Plate_2_H7_22NG7YLT3_S448_L008_R2_001	44582.0	50154.0
qc | fastqc-novaseq | Plate_2_H8_22NG7YLT3_S515_L008_R1_001	55046.0	130307.0
qc | fastqc-novaseq | Plate_2_H8_22NG7YLT3_S515_L008_R2_001	64698.0	120655.0
qc | fastqc-novaseq | Plate_2_H9_22NG7YLT3_S579_L008_R1_001	82155.0	267871.0
qc | fastqc-novaseq | Plate_2_H9_22NG7YLT3_S579_L008_R2_001	88848.0	261178.0
qc | fastqc-novaseq | Plate_3_A10_22NG7YLT3_S644_L008_R1_001	104034.0	204033.0
qc | fastqc-novaseq | Plate_3_A10_22NG7YLT3_S644_L008_R2_001	100737.0	207330.0
qc | fastqc-novaseq | Plate_3_A11_22NG7YLT3_S708_L008_R1_001	124170.0	280862.0
qc | fastqc-novaseq | Plate_3_A11_22NG7YLT3_S708_L008_R2_001	124591.0	280441.0
qc | fastqc-novaseq | Plate_3_A12_22NG7YLT3_S772_L008_R1_001	153782.0	290112.0
qc | fastqc-novaseq | Plate_3_A12_22NG7YLT3_S772_L008_R2_001	145825.0	298069.0
qc | fastqc-novaseq | Plate_3_A1_22NG7YLT3_S17_L008_R1_001	154435.0	368266.0
qc | fastqc-novaseq | Plate_3_A1_22NG7YLT3_S17_L008_R2_001	158544.0	364157.0
qc | fastqc-novaseq | Plate_3_A2_22NG7YLT3_S89_L008_R1_001	81763.0	102176.0
qc | fastqc-novaseq | Plate_3_A2_22NG7YLT3_S89_L008_R2_001	79717.0	104222.0
qc | fastqc-novaseq | Plate_3_A3_22NG7YLT3_S161_L008_R1_001	127213.0	246192.0
qc | fastqc-novaseq | Plate_3_A3_22NG7YLT3_S161_L008_R2_001	130886.0	242519.0
qc | fastqc-novaseq | Plate_3_A4_22NG7YLT3_S233_L008_R1_001	129107.0	235369.0
qc | fastqc-novaseq | Plate_3_A4_22NG7YLT3_S233_L008_R2_001	106824.0	257652.0
qc | fastqc-novaseq | Plate_3_A5_22NG7YLT3_S305_L008_R1_001	149272.0	206413.0
qc | fastqc-novaseq | Plate_3_A5_22NG7YLT3_S305_L008_R2_001	149114.0	206571.0
qc | fastqc-novaseq | Plate_3_A6_22NG7YLT3_S377_L008_R1_001	148296.0	246553.0
qc | fastqc-novaseq | Plate_3_A6_22NG7YLT3_S377_L008_R2_001	141042.0	253807.0
qc | fastqc-novaseq | Plate_3_A7_22NG7YLT3_S449_L008_R1_001	65095.0	61835.0
qc | fastqc-novaseq | Plate_3_A7_22NG7YLT3_S449_L008_R2_001	59674.0	67256.0
qc | fastqc-novaseq | Plate_3_A8_22NG7YLT3_S516_L008_R1_001	66813.0	115761.0
qc | fastqc-novaseq | Plate_3_A8_22NG7YLT3_S516_L008_R2_001	67455.0	115119.0
qc | fastqc-novaseq | Plate_3_A9_22NG7YLT3_S580_L008_R1_001	102628.0	232500.0
qc | fastqc-novaseq | Plate_3_A9_22NG7YLT3_S580_L008_R2_001	100243.0	234885.0
qc | fastqc-novaseq | Plate_3_B10_22NG7YLT3_S645_L008_R1_001	145311.0	242462.0
qc | fastqc-novaseq | Plate_3_B10_22NG7YLT3_S645_L008_R2_001	134178.0	253595.0
qc | fastqc-novaseq | Plate_3_B11_22NG7YLT3_S709_L008_R1_001	198660.0	482126.0
qc | fastqc-novaseq | Plate_3_B11_22NG7YLT3_S709_L008_R2_001	234365.0	446421.0
qc | fastqc-novaseq | Plate_3_B12_22NG7YLT3_S773_L008_R1_001	284939.0	649007.0
qc | fastqc-novaseq | Plate_3_B12_22NG7YLT3_S773_L008_R2_001	211948.0	721998.0
qc | fastqc-novaseq | Plate_3_B1_22NG7YLT3_S18_L008_R1_001	290475.0	569447.0
qc | fastqc-novaseq | Plate_3_B1_22NG7YLT3_S18_L008_R2_001	220851.0	639071.0
qc | fastqc-novaseq | Plate_3_B2_22NG7YLT3_S90_L008_R1_001	108966.0	184059.0
qc | fastqc-novaseq | Plate_3_B2_22NG7YLT3_S90_L008_R2_001	105201.0	187824.0
qc | fastqc-novaseq | Plate_3_B3_22NG7YLT3_S162_L008_R1_001	6735.0	3994.0
qc | fastqc-novaseq | Plate_3_B3_22NG7YLT3_S162_L008_R2_001	6241.0	4488.0
qc | fastqc-novaseq | Plate_3_B4_22NG7YLT3_S234_L008_R1_001	237256.0	480618.0
qc | fastqc-novaseq | Plate_3_B4_22NG7YLT3_S234_L008_R2_001	238932.0	478942.0
qc | fastqc-novaseq | Plate_3_B5_22NG7YLT3_S306_L008_R1_001	153250.0	316033.0
qc | fastqc-novaseq | Plate_3_B5_22NG7YLT3_S306_L008_R2_001	150818.0	318465.0
qc | fastqc-novaseq | Plate_3_B6_22NG7YLT3_S378_L008_R1_001	231518.0	386771.0
qc | fastqc-novaseq | Plate_3_B6_22NG7YLT3_S378_L008_R2_001	183424.0	434865.0
qc | fastqc-novaseq | Plate_3_B7_22NG7YLT3_S450_L008_R1_001	110844.0	118392.0
qc | fastqc-novaseq | Plate_3_B7_22NG7YLT3_S450_L008_R2_001	102765.0	126471.0
qc | fastqc-novaseq | Plate_3_B8_22NG7YLT3_S517_L008_R1_001	120357.0	137022.0
qc | fastqc-novaseq | Plate_3_B8_22NG7YLT3_S517_L008_R2_001	121019.0	136360.0
qc | fastqc-novaseq | Plate_3_B9_22NG7YLT3_S581_L008_R1_001	188135.0	302900.0
qc | fastqc-novaseq | Plate_3_B9_22NG7YLT3_S581_L008_R2_001	177006.0	314029.0
qc | fastqc-novaseq | Plate_3_C10_22NG7YLT3_S646_L008_R1_001	123233.0	239633.0
qc | fastqc-novaseq | Plate_3_C10_22NG7YLT3_S646_L008_R2_001	100389.0	262477.0
qc | fastqc-novaseq | Plate_3_C11_22NG7YLT3_S710_L008_R1_001	145088.0	229419.0
qc | fastqc-novaseq | Plate_3_C11_22NG7YLT3_S710_L008_R2_001	124749.0	249758.0
qc | fastqc-novaseq | Plate_3_C12_22NG7YLT3_S774_L008_R1_001	96734.0	162859.0
qc | fastqc-novaseq | Plate_3_C12_22NG7YLT3_S774_L008_R2_001	94183.0	165410.0
qc | fastqc-novaseq | Plate_3_C1_22NG7YLT3_S19_L008_R1_001	174579.0	284728.0
qc | fastqc-novaseq | Plate_3_C1_22NG7YLT3_S19_L008_R2_001	158731.0	300576.0
qc | fastqc-novaseq | Plate_3_C2_22NG7YLT3_S91_L008_R1_001	76362.0	76993.0
qc | fastqc-novaseq | Plate_3_C2_22NG7YLT3_S91_L008_R2_001	69413.0	83942.0
qc | fastqc-novaseq | Plate_3_C3_22NG7YLT3_S163_L008_R1_001	109323.0	190154.0
qc | fastqc-novaseq | Plate_3_C3_22NG7YLT3_S163_L008_R2_001	109749.0	189728.0
qc | fastqc-novaseq | Plate_3_C4_22NG7YLT3_S235_L008_R1_001	107422.0	195081.0
qc | fastqc-novaseq | Plate_3_C4_22NG7YLT3_S235_L008_R2_001	110145.0	192358.0
qc | fastqc-novaseq | Plate_3_C5_22NG7YLT3_S307_L008_R1_001	73115.0	94090.0
qc | fastqc-novaseq | Plate_3_C5_22NG7YLT3_S307_L008_R2_001	77458.0	89747.0
qc | fastqc-novaseq | Plate_3_C6_22NG7YLT3_S379_L008_R1_001	105214.0	164838.0
qc | fastqc-novaseq | Plate_3_C6_22NG7YLT3_S379_L008_R2_001	108702.0	161350.0
qc | fastqc-novaseq | Plate_3_C7_22NG7YLT3_S451_L008_R1_001	46856.0	44965.0
qc | fastqc-novaseq | Plate_3_C7_22NG7YLT3_S451_L008_R2_001	48072.0	43749.0
qc | fastqc-novaseq | Plate_3_C8_22NG7YLT3_S518_L008_R1_001	64405.0	80343.0
qc | fastqc-novaseq | Plate_3_C8_22NG7YLT3_S518_L008_R2_001	69318.0	75430.0
qc | fastqc-novaseq | Plate_3_C9_22NG7YLT3_S582_L008_R1_001	153033.0	101142.0
qc | fastqc-novaseq | Plate_3_C9_22NG7YLT3_S582_L008_R2_001	157841.0	96334.0
qc | fastqc-novaseq | Plate_3_D10_22NG7YLT3_S647_L008_R1_001	181868.0	123845.0
qc | fastqc-novaseq | Plate_3_D10_22NG7YLT3_S647_L008_R2_001	183017.0	122696.0
qc | fastqc-novaseq | Plate_3_D11_22NG7YLT3_S711_L008_R1_001	227212.0	203240.0
qc | fastqc-novaseq | Plate_3_D11_22NG7YLT3_S711_L008_R2_001	234039.0	196413.0
qc | fastqc-novaseq | Plate_3_D12_22NG7YLT3_S775_L008_R1_001	155457.0	276294.0
qc | fastqc-novaseq | Plate_3_D12_22NG7YLT3_S775_L008_R2_001	142928.0	288823.0
qc | fastqc-novaseq | Plate_3_D1_22NG7YLT3_S20_L008_R1_001	143638.0	445447.0
qc | fastqc-novaseq | Plate_3_D1_22NG7YLT3_S20_L008_R2_001	134269.0	454816.0
qc | fastqc-novaseq | Plate_3_D2_22NG7YLT3_S92_L008_R1_001	75419.0	119472.0
qc | fastqc-novaseq | Plate_3_D2_22NG7YLT3_S92_L008_R2_001	78053.0	116838.0
qc | fastqc-novaseq | Plate_3_D3_22NG7YLT3_S164_L008_R1_001	4347.0	2418.0
