Sample	Unique Reads	Duplicate Reads
qc | fastqc-novaseq | Plate_1_A10_22NG7YLT3_S628_L008_R1_001	101491.0	236813.0
qc | fastqc-novaseq | Plate_1_A10_22NG7YLT3_S628_L008_R2_001	104066.0	234238.0
qc | fastqc-novaseq | Plate_1_A11_22NG7YLT3_S692_L008_R1_001	45517.0	94467.0
qc | fastqc-novaseq | Plate_1_A11_22NG7YLT3_S692_L008_R2_001	49048.0	90936.0
qc | fastqc-novaseq | Plate_1_A12_22NG7YLT3_S756_L008_R1_001	10566.0	8095.0
qc | fastqc-novaseq | Plate_1_A12_22NG7YLT3_S756_L008_R2_001	10476.0	8185.0
qc | fastqc-novaseq | Plate_1_A1_22NG7YLT3_S1_L008_R1_001	100255.0	270298.0
qc | fastqc-novaseq | Plate_1_A1_22NG7YLT3_S1_L008_R2_001	103365.0	267188.0
qc | fastqc-novaseq | Plate_1_A2_22NG7YLT3_S73_L008_R1_001	82195.0	142290.0
qc | fastqc-novaseq | Plate_1_A2_22NG7YLT3_S73_L008_R2_001	86049.0	138436.0
qc | fastqc-novaseq | Plate_1_A3_22NG7YLT3_S145_L008_R1_001	120594.0	280818.0
qc | fastqc-novaseq | Plate_1_A3_22NG7YLT3_S145_L008_R2_001	129021.0	272391.0
qc | fastqc-novaseq | Plate_1_A4_22NG7YLT3_S217_L008_R1_001	132528.0	281307.0
qc | fastqc-novaseq | Plate_1_A4_22NG7YLT3_S217_L008_R2_001	137530.0	276305.0
qc | fastqc-novaseq | Plate_1_A5_22NG7YLT3_S289_L008_R1_001	101550.0	214124.0
qc | fastqc-novaseq | Plate_1_A5_22NG7YLT3_S289_L008_R2_001	103094.0	212580.0
qc | fastqc-novaseq | Plate_1_A6_22NG7YLT3_S361_L008_R1_001	122906.0	281547.0
qc | fastqc-novaseq | Plate_1_A6_22NG7YLT3_S361_L008_R2_001	131983.0	272470.0
qc | fastqc-novaseq | Plate_1_A7_22NG7YLT3_S433_L008_R1_001	57473.0	66879.0
qc | fastqc-novaseq | Plate_1_A7_22NG7YLT3_S433_L008_R2_001	61998.0	62354.0
qc | fastqc-novaseq | Plate_1_A8_22NG7YLT3_S500_L008_R1_001	85345.0	124713.0
qc | fastqc-novaseq | Plate_1_A8_22NG7YLT3_S500_L008_R2_001	93245.0	116813.0
qc | fastqc-novaseq | Plate_1_A9_22NG7YLT3_S564_L008_R1_001	123640.0	270462.0
qc | fastqc-novaseq | Plate_1_A9_22NG7YLT3_S564_L008_R2_001	127570.0	266532.0
qc | fastqc-novaseq | Plate_1_B10_22NG7YLT3_S629_L008_R1_001	107179.0	225270.0
qc | fastqc-novaseq | Plate_1_B10_22NG7YLT3_S629_L008_R2_001	107286.0	225163.0
qc | fastqc-novaseq | Plate_1_B11_22NG7YLT3_S693_L008_R1_001	135126.0	340836.0
qc | fastqc-novaseq | Plate_1_B11_22NG7YLT3_S693_L008_R2_001	142877.0	333085.0
qc | fastqc-novaseq | Plate_1_B12_22NG7YLT3_S757_L008_R1_001	142931.0	275414.0
qc | fastqc-novaseq | Plate_1_B12_22NG7YLT3_S757_L008_R2_001	127668.0	290677.0
qc | fastqc-novaseq | Plate_1_B1_22NG7YLT3_S2_L008_R1_001	222811.0	386812.0
qc | fastqc-novaseq | Plate_1_B1_22NG7YLT3_S2_L008_R2_001	225908.0	383715.0
